app ID, api IDs
10136, 1008 1086 1122 1172 1238 1279 1321 1353 1386 2861 2474 2488 2322 2525 1642 2443 2041 1706 1712 1723 2101 2593 2642 2647 2635 1612 1986 2826 1775 1762 1496
10137, 1086 1405 2860 2861 2820 2926 1714 2625 2642 2628 2635 1982
10138, 1062 1060 1061 1164 1276 1383 2861 2443 2321 1714 2274 2593 2930 2642 2634 2635 1982 2201 1496
10139, 2525 1982
10140, 1276 1383 2861 1714 2930 2642 2635 1982 2201
10141, 1086 2859 2885 2861 1601 1600 1714 2201 2720 1772
10142, 2861 2525 2274 2515 2635 1770
10143, 2274 1988 1763 1762
10144, 1086 1249 2868 2487 2926 2267 2642
10145, 1086 1276 1383 1480 1714 2930 2642 1982
10146, 1276 1383 2885 2861 1714 2930 2642 2635 1982 2201 1762 1772
10147, 2469 1714 1982 1762
10148, 1086 2469 2136 2926 2027 2026 2274 2642 2225 2727
10149, 1276 1383 2861 2926 1714 2274 2930 2705 2642 2647 2635 1612 1982 2201 1775 1763 1762
10150, 2525 2041
10151, 1086 1714 2634 1982 1762
10152, 1086 1140 1276 1383 2885 2880 2861 2784 2820 2926 1714 2274 2101 2930 2018 2642 2647 1982 1762
10153, 1086 1276 1383 2861 2926 1714 2274 2642 1982 2720 1775
10154, 1086 1276 1383 2861 2926 1714 1419 2642 1982 2720 1775
10155, 2525 2041
10156, 2274
10157, 1276 1383 2469 2926 1714 2274 2930 2642 1982 2201 2720 2826 1775 1762 1772
